GHM;LIBELLE;TARIF PUBLIC;TARIF PRIVE
01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;3 775,10 €;1 691,00 €
01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;6 703,20 €;3 219,40 €
01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;12 095,80 €;7 979,50 €
01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;16 391,50 €;11 471,40 €
01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;13 081,60 €;2 720,50 €
01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;5 919,70 €;10 007,40 €
01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;17 033,10 €;4 934,40 €
01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;9 871,30 €;12 221,20 €
01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;14 252,60 €;6 960,90 €
01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;21 414,50 €;14 247,80 €
01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;25 826,10 €;11 331,30 €
01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;18 664,20 €;18 618,20 €
01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;5 061,40 €;2 368,20 €
01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;7 903,00 €;3 173,80 €
01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;12 663,10 €;6 049,30 €
01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;16 283,20 €;9 939,20 €
01C061;Interventions sur le système vasculaire précérébral, niveau 1;5 177,10 €;2 790,60 €
01C062;Interventions sur le système vasculaire précérébral, niveau 2;7 076,60 €;3 593,70 €
01C063;Interventions sur le système vasculaire précérébral, niveau 3;10 377,00 €;6 804,40 €
01C064;Interventions sur le système vasculaire précérébral, niveau 4;14 762,20 €;12 500,50 €
01C081;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1;2 582,50 €;910,50 €
01C082;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2;5 182,40 €;2 343,90 €
01C083;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3;9 713,80 €;4 978,00 €
01C084;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4;16 243,70 €;7 755,20 €
01C08J;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire;2 582,50 €;910,50 €
