GHM;MCO;CAS;DA;GP;GA;Classif PKCS;Libracine;Recours;Regroupement GHM PH
01C03;Chirurgie;Chirurgie;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie du rachis, Neuro-chirurgie;Chirurgies SNC trauma;Chirurgie Systéme nerveux;Craniotomies pour traumatisme, âge supérieur à 17 ans;oui  ;Craniotomies pour traumatisme > à 17 ans
01C04;Chirurgie;Chirurgie;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie du rachis, Neuro-chirurgie;Chirurgies SNC hors trauma (rachis et moelle exceptés);Chirurgie Systéme nerveux;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans;oui  ;Craniotomie, hors traum, > 17 ans (hemorragie, abcès,hydrocéphalie, tumeur…)
01C05;Chirurgie;Chirurgie;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie du rachis, Neuro-chirurgie;Chirurgies rachis/moelle;Rachis et moelle;Interventions sur le rachis et la moelle pour des affections neurologiques;oui  ;Chir rachis, moelle pour affection neurologique
01C06;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie vasculaire;Autres chirurgies vasculaires;Chir thoracique et vasculaire;Interventions sur le système vasculaire précérébral;oui  ;Interventions sur le système vasculaire précérébral
01C08;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux;non  ;Chir nerf crânien, périphérique, autre chir sys nerveux (lesion nerf main…)
01C09;Chirurgie;Chirurgie;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurostimulateurs;Pose stimulateur cérébral / médullaire;Chirurgie Systéme nerveux;Pose d'un stimulateur cérébral;oui  ;Pose stimulateur cérébral / médullaire
01C10;Chirurgie;Chirurgie;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurostimulateurs;Pose stimulateur cérébral / médullaire;Chirurgie Systéme nerveux;Pose d'un stimulateur médullaire;non  ;Pose stimulateur cérébral / médullaire
01C11;Chirurgie;Chirurgie;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie du rachis, Neuro-chirurgie;Chirurgies SNC hors trauma (rachis et moelle exceptés);Chirurgie Systéme nerveux;Craniotomies pour tumeurs, âge inférieur à 18 ans;oui  ;Craniotomies pour tumeurs, < 18 ans
01C12;Chirurgie;Chirurgie;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie du rachis, Neuro-chirurgie;Chirurgies SNC hors trauma (rachis et moelle exceptés);Chirurgie Systéme nerveux;Craniotomies pour affections non tumorales, âge inférieur à 18 ans;oui  ;Craniotomies pour affections non tumorales, < 18 ans
01C13;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgies main, poignet;Ortho Traumato;Libérations du canal carpien et d'autres nerfs superficiels;non  ;Libérations du médian au canal carpien
