Code_GHM,Libelle_GHS,Tarif_Public_2022,Tarif_Prive_2022,Tarif_Public_2023,Tarif_Prive_2023,Tarif_Public_2024,Tarif_Prive_2024
01C031,"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1",3775.1,1691.0,4038.0,1779.3,4161.5,1779.3
01C032,"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2",6703.2,3219.4,7170.0,3387.51,7389.29,3387.5
01C033,"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3",12095.8,7979.5,12939.0,8396.29,13333.79,8396.3
01C034,"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4",16391.5,11471.4,17534.0,12070.59,18069.12,12070.6
01C041,"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1",13081.6,2720.5,13993.0,2862.59,14420.44,2862.6
01C042,"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2",17033.1,4934.4,18220.0,5192.09,18776.47,5192.1
01C043,"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3",14252.6,6960.9,15246.0,7324.5,15711.33,7324.5
01C044,"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4",25826.1,11331.3,27626.0,11923.14,28469.33,11923.1
01C051,"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1",5061.4,2368.2,5414.0,2491.94,5579.41,2491.9
01C052,"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2",7903.0,3173.8,8454.0,3339.56,8711.88,3339.6
01C053,"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3",12663.1,6049.3,13546.0,6365.3,13959.15,6365.3
01C054,"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4",16283.2,9939.2,17418.0,10458.39,17949.82,10458.4
01C061,"Interventions sur le système vasculaire précérébral, niveau 1",5177.1,2790.6,5538.0,2936.37,5706.94,2936.4
01C062,"Interventions sur le système vasculaire précérébral, niveau 2",7076.6,3593.7,7570.0,3781.39,7800.83,3781.4
01C063,"Interventions sur le système vasculaire précérébral, niveau 3",10377.0,6804.4,11100.0,7159.83,11439.09,7159.8
01C064,"Interventions sur le système vasculaire précérébral, niveau 4",14762.2,12500.5,15791.0,13153.44,16273.11,13153.4
01C081,"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1",2582.5,910.5,2762.0,958.08,2846.76,958.1
01C082,"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2",5182.4,2343.9,5544.0,2466.3,5712.78,2466.3
01C083,"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3",9713.8,4978.0,10391.0,5238.04,10708.02,5238.0
01C084,"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4",16243.7,7755.2,17376.0,8160.22,17906.19,8160.2
01C08J,"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire",2582.5,910.5,2762.0,958.08,2846.76,958.1
01C091,"Pose d'un stimulateur cérébral, niveau 1",7366.2,5856.4,7879.0,6162.33,8120.07,6162.3
01C092,"Pose d'un stimulateur cérébral, niveau 2",12508.3,9544.1,13380.0,10042.57,13788.52,10042.6
01C093,"Pose d'un stimulateur cérébral, niveau 3",19237.4,15407.9,20578.0,16212.66,21206.34,16212.7
01C094,"Pose d'un stimulateur cérébral, niveau 4",24457.5,23888.3,26162.0,25136.1,26960.68,25136.1
01C101,"Pose d'un stimulateur médullaire, niveau 1",2104.9,899.3,2252.0,946.22,2320.33,946.2
01C102,"Pose d'un stimulateur médullaire, niveau 2",4468.1,2281.0,4779.0,2400.09,4925.42,2400.1
01C103,"Pose d'un stimulateur médullaire, niveau 3",9146.1,4393.9,9783.0,4623.36,10082.2,4623.4
01C104,"Pose d'un stimulateur médullaire, niveau 4",11627.9,6845.1,12438.0,7202.64,12818.03,7202.6
01C10J,"Pose d'un stimulateur médullaire, en ambulatoire",2104.9,899.3,2252.0,946.22,2320.33,946.2
01C111,"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1",7498.1,2317.8,8021.0,2438.84,8483.99,2503.3
01C112,"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2",10225.5,3401.9,10938.0,3579.58,11569.95,3674.2
01C113,"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3",12574.8,5274.3,13451.0,5549.79,14228.19,5696.5
01C114,"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4",14709.6,7259.2,15735.0,7638.36,16643.61,7840.2
01C121,"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1",5261.9,9943.2,5629.0,10462.52,5953.79,10739.0
01C122,"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2",8464.3,11992.9,9054.0,12619.29,9577.24,12952.8
01C123,"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3",9727.0,14953.3,10405.0,15734.38,11005.89,16150.2
01C124,"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4",13530.0,19171.7,14473.0,20173.12,15308.96,20706.2
01C141,"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 1",1377.2,637.9,1473.0,671.18,1518.14,671.2
01C142,"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 2",3221.6,1736.2,3446.0,1826.83,3551.33,1826.8
01C143,"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 3",4026.2,2710.2,4307.0,2851.73,4438.25,2851.7
01C144,"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 4",4745.5,4688.7,5076.0,4933.58,5231.17,4933.6
01C14J,"Libérations de nerfs superficiels à l'exception du médian au canal carpien, en ambulatoire",1377.2,637.9,1473.0,671.18,1518.14,671.2
01C151,"Libérations du médian au canal carpien, niveau 1",1024.4,432.6,1096.0,455.2,1129.29,455.2
01C152,"Libérations du médian au canal carpien, niveau 2",2761.8,1617.2,2954.0,1701.7,3044.44,1701.7
01C153,"Libérations du médian au canal carpien, niveau 3",3737.8,2431.7,3998.0,2558.76,4120.35,2558.8
01C154,"Libérations du médian au canal carpien, niveau 4",8027.9,4312.6,8587.0,4537.89,8849.51,4537.9
01C15J,"Libérations du médian au canal carpien, en ambulatoire",1024.4,432.6,1096.0,455.2,1129.29,455.2
01K021,"Autres embolisations intracrâniennes et médullaires, niveau 1",7727.3,2133.5,8266.0,2244.94,8518.17,2244.9
01K022,"Autres embolisations intracrâniennes et médullaires, niveau 2",8803.0,4507.9,9416.0,4743.38,9704.01,4743.4
01K023,"Autres embolisations intracrâniennes et médullaires, niveau 3",10812.8,8127.9,11566.0,8552.47,11919.48,8552.5
01K024,"Autres embolisations intracrâniennes et médullaires, niveau 4",17263.9,9370.0,18467.0,9859.37,19030.85,9859.4
01K031,"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 1",4520.1,1119.1,4835.0,1177.52,5408.46,1215.1
01K032,"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 2",8535.7,3523.6,9130.0,3707.61,10213.23,3825.9
01K033,"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 3",11299.9,5313.4,12087.0,5590.93,13520.69,5769.3
01K034,"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 4",17976.3,13133.2,19229.0,13819.22,21509.31,14260.1
01K04J,"Injections de toxine botulique, en ambulatoire",399.2,333.0,427.0,350.4,440.07,350.4
